Complaint,Category,Date,Sentiment,Topic
The product quality was slower than expected although the agent was polite.,Technical,3/4/24,Negative,0
The customer support had unexpected charges and I expected better service.,Customer Service,1/23/24,Positive,1
The website was not up to the mark and it was quite frustrating.,Product,3/18/24,Negative,2
The product quality kept crashing and it was quite frustrating.,Billing,1/1/24,Negative,2
The billing was difficult to navigate and this needs improvement.,Technical,5/28/24,Negative,2
The app had unexpected charges and it was quite frustrating.,Delivery,1/19/24,Negative,2
The customer support was difficult to navigate but I appreciate the follow-up.,Technical,6/29/24,Negative,0
The refund process did not respond on time although the agent was polite.,Product,1/20/24,Neutral,1
The billing kept crashing which disappointed me.,Product,2/29/24,Negative,3
The website was not up to the mark but eventually got resolved.,Delivery,4/21/24,Neutral,3
The delivery took too long to complete and this needs improvement.,Billing,4/7/24,Positive,3
The delivery was slower than expected and this needs improvement.,Delivery,5/23/24,Negative,2
The product quality had unexpected charges and it was quite frustrating.,Delivery,6/15/24,Negative,2
The refund process was slower than expected but I appreciate the follow-up.,Technical,2/25/24,Negative,0
The product quality kept crashing which disappointed me.,Billing,2/17/24,Negative,2
The app was slower than expected and it was quite frustrating.,Technical,3/9/24,Negative,1
The refund process kept crashing and it was quite frustrating.,Delivery,2/29/24,Negative,2
The billing did not respond on time but I appreciate the follow-up.,Customer Service,3/13/24,Neutral,1
The billing did not respond on time but eventually got resolved.,Product,4/4/24,Neutral,3
The refund process had unexpected charges which disappointed me.,Technical,1/29/24,Negative,0
The billing kept crashing but I appreciate the follow-up.,Delivery,6/2/24,Neutral,0
The delivery was slower than expected but eventually got resolved.,Technical,2/3/24,Negative,3
The app kept crashing and it was quite frustrating.,Billing,5/29/24,Negative,2
The delivery had unexpected charges and this needs improvement.,Technical,5/9/24,Positive,2
The customer support was difficult to navigate but eventually got resolved.,Technical,2/20/24,Negative,3
The refund process did not respond on time but eventually got resolved.,Technical,1/14/24,Neutral,1
The product quality did not respond on time but eventually got resolved.,Technical,2/17/24,Neutral,3
The refund process took too long to complete but eventually got resolved.,Billing,5/4/24,Positive,3
The refund process was slower than expected and this needs improvement.,Technical,3/6/24,Negative,1
The delivery was difficult to navigate but I appreciate the follow-up.,Product,4/29/24,Negative,2
The delivery was slower than expected and I expected better service.,Technical,2/1/24,Positive,1
The refund process did not respond on time but eventually got resolved.,Technical,1/17/24,Neutral,1
The app was slower than expected which disappointed me.,Technical,3/27/24,Negative,1
The customer support had unexpected charges although the agent was polite.,Billing,6/14/24,Positive,0
The app was difficult to navigate and this needs improvement.,Delivery,1/29/24,Negative,2
The customer support was not up to the mark and I expected better service.,Billing,5/28/24,Positive,1
The billing was not up to the mark and I expected better service.,Delivery,4/26/24,Positive,1
The product quality did not respond on time and this needs improvement.,Customer Service,2/26/24,Neutral,2
The product quality took too long to complete although the agent was polite.,Technical,1/20/24,Positive,0
The product quality was difficult to navigate and this needs improvement.,Delivery,1/16/24,Negative,2
The website did not respond on time which disappointed me.,Billing,1/18/24,Negative,1
The product quality was not up to the mark and this needs improvement.,Customer Service,4/15/24,Neutral,2
The product quality kept crashing although the agent was polite.,Technical,4/21/24,Neutral,0
The product quality was difficult to navigate and I expected better service.,Product,5/29/24,Negative,2
The delivery was not up to the mark but eventually got resolved.,Technical,3/1/24,Neutral,3
The refund process was slower than expected although the agent was polite.,Product,2/16/24,Negative,0
The billing was not up to the mark but eventually got resolved.,Billing,3/25/24,Neutral,3
The app did not respond on time and this needs improvement.,Billing,2/13/24,Neutral,1
The delivery took too long to complete which disappointed me.,Customer Service,1/18/24,Negative,3
The customer support was not up to the mark but eventually got resolved.,Technical,6/20/24,Neutral,3
The app took too long to complete but I appreciate the follow-up.,Delivery,3/15/24,Positive,3
The app was slower than expected and I expected better service.,Product,1/28/24,Positive,1
The refund process took too long to complete although the agent was polite.,Technical,1/13/24,Positive,0
The website kept crashing and this needs improvement.,Product,3/8/24,Neutral,2
The delivery kept crashing but eventually got resolved.,Product,6/2/24,Neutral,3
The website was not up to the mark but I appreciate the follow-up.,Billing,4/11/24,Neutral,0
The website had unexpected charges but eventually got resolved.,Technical,4/22/24,Positive,3
The product quality was slower than expected but eventually got resolved.,Product,4/6/24,Negative,3
The app was difficult to navigate but I appreciate the follow-up.,Customer Service,4/19/24,Negative,2
The billing was not up to the mark and I expected better service.,Product,6/4/24,Positive,1
The website was slower than expected but I appreciate the follow-up.,Product,5/8/24,Negative,1
The customer support was not up to the mark and I expected better service.,Technical,4/4/24,Positive,1
The app was difficult to navigate and this needs improvement.,Customer Service,2/9/24,Negative,2
The website took too long to complete and this needs improvement.,Customer Service,3/22/24,Positive,3
The product quality had unexpected charges and I expected better service.,Customer Service,1/20/24,Positive,0
The billing did not respond on time which disappointed me.,Delivery,3/5/24,Negative,1
The app took too long to complete but eventually got resolved.,Customer Service,3/12/24,Positive,3
The delivery was not up to the mark but eventually got resolved.,Technical,3/26/24,Neutral,3
The app did not respond on time but I appreciate the follow-up.,Delivery,2/28/24,Neutral,1
